Address,ProjectedValue,Latitude,Longitude
"East Side, El Paso, TX",206669.8351447376,31.772561,-106.3874132
"South Side, Corpus Christi, TX",259122.8939824148,27.685483,-97.3838744
"Alief, Houston, TX",217004.27302745573,29.6827204,-95.593239
"Southeast, Arlington, TX",320448.2684041535,32.6448324,-97.1022478
"East, Arlington, TX",252528.12704343387,32.710125,-97.08036010000001
"Central City, Corpus Christi, TX",115642.79372303252,27.7775346,-97.42846709999999
"Northwest, El Paso, TX",312704.7490985045,31.8523863,-106.5417508
"West, Arlington, TX",322282.46929798665,32.7159612,-97.16893499999999
"Sharpstown, Houston, TX",207418.68834714568,29.7051747,-95.52128979999999
"Eldridge - West Oaks, Houston, TX",328733.5242215807,29.75591159999999,-95.64454950000001
"Central Southwest, Houston, TX",215399.09239947973,29.6282415,-95.4307937
"Kingwood, Houston, TX",337815.50221049023,30.0500255,-95.18447739999999
"South Belt - Ellington, Houston, TX",245992.93442623463,29.6015354,-95.2160675
"Clear Lake, Houston, TX",322992.9433692281,29.556625,-95.0624713
"Northeast, El Paso, TX",182898.89063944257,31.9397232,-106.4077517
"Greater Fondren Southwest, Houston, TX",234099.30696361247,29.6557112,-95.5280193
"Northside-Northline, Houston, TX",210285.6908279397,29.8594534,-95.3846774
"Greater Uptown, Houston, TX",395240.8486223139,29.734948,-95.471515
"Woodlake - Briarmeadow, Houston, TX",245822.32761019305,29.7374609,-95.5142195
"Eastern Division, Laredo, TX",152512.92793051593,27.5102263,-99.4803718
"Golfcrest - Bellfort - Reveille, Houston, TX",202812.45700355168,29.6851528,-95.29631150000002
"Southwest, Arlington, TX",351693.62464995607,32.6487679,-97.15804089999999
"Memorial, Houston, TX",617270.130836239,29.7725574,-95.575926
"Greater Heights, Houston, TX",600836.3216720739,29.7962142,-95.39910499999999
"Gulfton, Houston, TX",188877.10852456884,29.7164567,-95.4805999
"Greater Greenspoint, Houston, TX",198611.24585741077,29.9406789,-95.41390559999999
"North, Arlington, TX",401483.9149085865,32.735687,-97.10806559999999
"Oak Forest - Garden Oaks, Houston, TX",443753.6437622507,29.8327499,-95.4448031
"Briarforest Area, Houston, TX",380774.6151153328,29.7479902,-95.5720781
"Bay Area, Corpus Christi, TX",212011.70108834203,27.7118749,-97.35705759999999
"Lower Valley, El Paso, TX",159645.20161586805,31.6666667,-106.25
"Greater Inwood, Houston, TX",221124.06166302843,29.86573869999999,-95.4804344
"Mission Bend, Houston, TX",262461.1999139861,29.6938429,-95.6649468
"Addicks Park Ten, Houston, TX",288018.5655258308,29.8132687,-95.6454759
